                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 2.8715,                 10.007,                0.69891,                 3.7719,                 4.1482,                0.00667,                0.57143,                0.00924,                0.00462,                      0,                      0,                      0,                      0,                  3.372,                  11.18,                 0.6944,                 3.8056,                  4.159,             0.00034417,             0.00034417,             0.00034417
                     23,                 2.6812,                 10.563,                0.69976,                  3.505,                 4.1162,                0.00667,                0.57143,                0.00924,                0.00462,                      0,                      0,                      0,                      0,                  3.372,                  11.18,                 0.6944,                 3.8056,                  4.159,             0.00035526,             0.00035526,             0.00035526
                     24,                 2.6987,                 10.107,                0.70819,                 3.9695,                 4.1143,                0.00667,                0.57143,                0.01868,                0.00839,                      0,                      0,                      0,                      0,                 3.3716,                 11.181,                0.69454,                 3.7976,                  4.159,             0.00036595,             0.00036595,             0.00036595
                     25,                 3.5482,                 10.042,                0.70894,                 3.7417,                 4.2075,                0.00667,                0.57143,                0.01868,                0.00839,                      0,                      0,                      0,                      0,                 3.3716,                 11.181,                0.69454,                 3.7976,                  4.159,             0.00037625,             0.00037625,             0.00037625
                     26,                 3.2613,                 9.8922,                0.70472,                  3.587,                 4.1626,                0.00667,                0.57143,                0.01861,                0.00748,                      0,                      0,                      0,                      0,                 3.3715,                 11.172,                0.69469,                  3.799,                 4.1589,             0.00038615,             0.00038615,             0.00038615
                     27,                 3.2978,                 8.8289,                0.69403,                 3.4544,                 4.2669,                0.00667,                0.57143,                0.01861,                0.00748,                      0,                      0,                      0,                      0,                 3.3715,                 11.172,                0.69469,                  3.799,                 4.1589,             0.00039566,             0.00039566,             0.00039566
                     28,                  4.097,                 9.8898,                0.72981,                 3.9917,                 4.2006,                0.00667,                0.57143,                0.01759,                0.00657,                      0,                      0,                      0,                      0,                  3.371,                  11.18,                 0.6948,                 3.8014,                 4.1593,             0.00040477,             0.00040477,             0.00040477
                     29,                 3.5243,                 10.172,                0.70407,                 3.5569,                 4.1148,                0.00667,                0.57143,                0.01759,                0.00657,                      0,                      0,                      0,                      0,                  3.371,                  11.18,                 0.6948,                 3.8014,                 4.1593,             0.00041348,             0.00041348,             0.00041348
                     30,                 3.1159,                  9.814,                0.71095,                 3.6036,                 4.1485,                0.00667,                0.57143,                0.01692,                0.00676,                      0,                      0,                      0,                      0,                  3.373,                 11.174,                  0.695,                 3.8032,                 4.1591,              0.0004218,              0.0004218,              0.0004218
                     31,                 3.4375,                  10.24,                0.70174,                 3.6313,                 4.1508,                0.00667,                0.57143,                0.01692,                0.00676,                      0,                      0,                      0,                      0,                  3.373,                 11.174,                  0.695,                 3.8032,                 4.1591,             0.00042972,             0.00042972,             0.00042972
                     32,                 3.2792,                 7.5682,                0.70284,                 3.7489,                 4.0807,                0.00667,                0.57143,                0.01808,                0.00713,                      0,                      0,                      0,                      0,                 3.3824,                 11.169,                0.69537,                 3.8087,                 4.1593,             0.00043725,             0.00043725,             0.00043725
                     33,                 3.1162,                  10.09,                 0.7094,                 3.6516,                 4.2416,                0.00667,                0.57143,                0.01808,                0.00713,                      0,                      0,                      0,                      0,                 3.3824,                 11.169,                0.69537,                 3.8087,                 4.1593,             0.00044438,             0.00044438,             0.00044438
                     34,                 3.0911,                 9.9286,                0.68216,                 3.2244,                 4.0912,                0.00667,                0.57143,                0.01914,                0.00603,                      0,                      0,                      0,                      0,                 3.3856,                  11.17,                0.69548,                 3.8129,                 4.1593,             0.00045111,             0.00045111,             0.00045111
                     35,                 3.7008,                 10.429,                0.70469,                  3.551,                 4.2308,                0.00667,                0.57143,                0.01914,                0.00603,                      0,                      0,                      0,                      0,                 3.3856,                  11.17,                0.69548,                 3.8129,                 4.1593,             0.00045745,             0.00045745,             0.00045745
                     36,                 3.4138,                 9.9262,                0.69406,                 3.5158,                 4.1043,                0.00667,                0.57143,                0.01459,                0.00602,                      0,                      0,                      0,                      0,                 3.3859,                 11.183,                0.69567,                 3.8127,                 4.1588,             0.00046339,             0.00046339,             0.00046339
                     37,                 3.6323,                 9.8971,                0.67196,                 4.1313,                 4.0489,                0.00667,                0.57143,                0.01459,                0.00602,                      0,                      0,                      0,                      0,                 3.3859,                 11.183,                0.69567,                 3.8127,                 4.1588,             0.00046894,             0.00046894,             0.00046894
                     38,                 4.1876,                 9.9162,                0.69632,                   4.04,                 4.1677,                0.00667,                0.57143,                0.01425,                0.00604,                      0,                      0,                      0,                      0,                 3.3867,                 11.182,                0.69592,                 3.8103,                 4.1585,             0.00047409,             0.00047409,             0.00047409
                     39,                  3.762,                 10.001,                0.69792,                 3.3265,                 3.9963,                0.00667,                0.57143,                0.01425,                0.00604,                      0,                      0,                      0,                      0,                 3.3867,                 11.182,                0.69592,                 3.8103,                 4.1585,             0.00047884,             0.00047884,             0.00047884
                     40,                 3.9149,                 7.3837,                0.52105,                 3.7452,                 4.0801,                0.00667,                0.57143,                0.01466,                0.00583,                      0,                      0,                      0,                      0,                 3.3858,                 11.182,                0.69604,                 3.8068,                 4.1572,              0.0004832,              0.0004832,              0.0004832
                     41,                 3.5315,                 9.9397,                0.65112,                 3.2973,                 4.0957,                0.00667,                0.57143,                0.01466,                0.00583,                      0,                      0,                      0,                      0,                 3.3858,                 11.182,                0.69604,                 3.8068,                 4.1572,             0.00048716,             0.00048716,             0.00048716
                     42,                 3.4536,                 9.7713,                0.69484,                 4.2366,                  4.183,                0.00667,                0.57143,                0.01577,                 0.0062,                      0,                      0,                      0,                      0,                 3.3846,                 11.183,                0.69647,                 3.8095,                 4.1561,             0.00049073,             0.00049073,             0.00049073
                     43,                 3.2031,                 9.6978,                 0.6646,                  3.411,                 4.0117,                0.00667,                0.57143,                0.01577,                 0.0062,                      0,                      0,                      0,                      0,                 3.3846,                 11.183,                0.69647,                 3.8095,                 4.1561,              0.0004939,              0.0004939,              0.0004939
                     44,                 3.2878,                 10.101,                0.69497,                 3.4526,                 4.1063,                0.00667,                0.57143,                0.01545,                0.00606,                      0,                      0,                      0,                      0,                  3.384,                  11.18,                0.69629,                 3.8097,                 4.1556,             0.00049667,             0.00049667,             0.00049667
                     45,                 3.6964,                 10.153,                0.70001,                 3.6315,                 4.1029,                0.00667,                0.57143,                0.01545,                0.00606,                      0,                      0,                      0,                      0,                  3.384,                  11.18,                0.69629,                 3.8097,                 4.1556,             0.00049905,             0.00049905,             0.00049905
                     46,                 3.0274,                 10.207,                  0.653,                 3.5845,                 4.0018,                0.00667,                0.57143,                 0.0148,                0.00576,                      0,                      0,                      0,                      0,                 3.3825,                 11.183,                0.69667,                 3.8143,                 4.1562,             0.00050103,             0.00050103,             0.00050103
                     47,                 2.9545,                 9.5195,                 0.6335,                 3.6375,                 3.9609,                0.00667,                0.57143,                 0.0148,                0.00576,                      0,                      0,                      0,                      0,                 3.3825,                 11.183,                0.69667,                 3.8143,                 4.1562,             0.00050262,             0.00050262,             0.00050262
                     48,                 3.5518,                 9.7749,                0.68547,                 3.9529,                  4.037,                0.00667,                0.57143,                0.01407,                0.00567,                      0,                      0,                      0,                      0,                 3.3847,                 11.182,                0.69674,                 3.8238,                 4.1578,             0.00050381,             0.00050381,             0.00050381
                     49,                 3.0232,                 8.8463,                0.69368,                 3.4248,                 3.9855,                0.00667,                0.57143,                0.01407,                0.00567,                      0,                      0,                      0,                      0,                 3.3847,                 11.182,                0.69674,                 3.8238,                 4.1578,              0.0005046,              0.0005046,              0.0005046
                     50,                 3.1123,                 10.527,                0.70512,                 3.4693,                 3.9361,                0.00667,                0.57143,                0.02019,                0.00553,                      0,                      0,                      0,                      0,                 3.3854,                 11.183,                0.69727,                 3.8401,                 4.1619,               0.000505,               0.000505,               0.000505
                     51,                  3.444,                  9.831,                0.69042,                 3.6235,                 4.0389,                0.00667,                0.57143,                0.02019,                0.00553,                      0,                      0,                      0,                      0,                 3.3854,                 11.183,                0.69727,                 3.8401,                 4.1619,               0.000505,               0.000505,               0.000505
                     52,                 2.6595,                  9.844,                0.69483,                 3.3933,                 4.0377,                0.00667,                0.57143,                0.02019,                0.00553,                      0,                      0,                      0,                      0,                 3.3854,                 11.183,                0.69727,                 3.8401,                 4.1619,             0.00050461,             0.00050461,             0.00050461
                     53,                 2.6353,                 10.158,                0.69392,                 3.2476,                 3.9461,                0.00667,                0.57143,                0.02154,                0.00561,                      0,                      0,                      0,                      0,                 3.3896,                 11.181,                0.69784,                 3.8641,                 4.1682,             0.00050382,             0.00050382,             0.00050382
